c0,c1,c2,c3,c4,c5,c6,c7
-1.0658284,0.93388546,1.0498004,1.0493543,0.38272047,-0.8610336,-0.72227395,1.7580309
0.5629502,-0.7963653,-1.4741898,-0.16118559,0.8928817,0.60751224,0.08945896,0.17138332
0.56160676,1.5094692,-0.5409746,1.0880688,0.1763476,0.70685774,2.0782094,-0.7513371
0.69058424,-2.3755662,-0.41629186,-0.4826217,-0.32464883,1.2773294,0.8061656,-1.1138235
1.0045563,1.1354027,-0.18075204,0.5157053,1.4136372,0.35333964,0.6364276,-1.3361176
0.9324229,-0.3647389,-1.5132211,-0.6594025,1.6275487,0.028364608,0.07074297,1.5394411
-1.6545203,0.82743317,-1.0861453,1.01291,-0.37953296,-0.51209944,0.68473095,1.148498
0.35330868,-1.3704671,0.7758899,-0.28794187,1.3676605,-0.4669417,-0.61044866,0.45906976
-1.7198502,1.4485363,0.8968721,0.64027286,-2.3193653,-0.19030474,-1.3985715,0.70178837
1.2984861,-0.35134834,0.052866723,0.837915,0.4008895,1.2373145,0.61955625,-0.630929
1.0368414,1.7865636,-0.458718,-0.429651,-0.54855293,-0.55814016,1.9286498,0.092236266
0.7692479,1.9642144,0.7701131,-0.5072466,-0.6952346,0.037992608,-0.6356836,-2.4767737
-0.7077503,0.2382481,-2.4436579,1.3458232,0.31284812,0.26440004,0.09947946,0.19048223
0.85625523,0.39437723,-0.43408036,-1.147272,-0.7070375,0.101078115,-2.1122835,-1.1115165
-1.6028001,-0.6624186,0.3667721,1.190217,-0.058709968,-1.4136873,0.03798902,-0.4448003
-1.0613216,-0.64600235,-0.9052844,-0.7584631,-1.7649927,0.05177427,-0.04509065,-0.068755046
0.74102306,0.044716973,-0.5505523,-1.0655543,1.2849953,0.94097567,0.4572754,-1.5048294
-1.6565981,-1.4914514,-0.46618015,1.0150293,0.40439227,-0.11291488,0.03984729,0.2448337
-0.60888785,-0.0983479,1.4765356,-0.35800824,0.9279678,-0.30505657,-0.98322743,1.3303747
0.6275777,-0.3914107,-0.5594067,0.6927208,1.3412638,-1.2929327,-1.5507188,0.82342094
0.47485152,1.2315882,-0.588791,1.8228445,-0.8956067,1.4149488,0.6157,-0.4714347
-1.2396113,-1.3463012,0.09010089,0.24086526,-0.46737114,-0.47503126,1.2527006,0.74909174
-0.27255252,-0.7995664,0.011402595,-0.8743603,0.39715278,0.6922839,-2.0929613,1.236077
